# 西藏三元协调评价　原始指标数据模板
# 说明：按表1所列口径填写实际值（已人均化/相对化后的值，非原始总量）。
#      缺失留空，勿填 0。小数位数按原始资料保留，不要预先四舍五入。
#      若已有标准化值 x'ij，可另起一份填 x'ij，可跳过标准化步骤。
指标编码,指标名称,单位,方向,标准化基准(下限|上限),2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
S1,人均一般公共预算收入,元/人,正向,"(0, 12000)",,,,,,,,,,
S2,城乡居民收入比与全国差距,倍,逆向,"(-1, 2)",,,,,,,,,,
S3,居民医保人均财政补助标准,元/人年,正向,"(0, 1200)",,,,,,,,,,
S4,基本养老保险参保率,%,正向,"(0, 100)",,,,,,,,,,
D1,人均GDP相对全国水平,%,正向,"(0, 100)",,,,,,,,,,
D2,农村居民人均收入相对全国水平,%,正向,"(0, 100)",,,,,,,,,,
D3,外向度(进出口总额/GDP),%,正向,"(0, 10)",,,,,,,,,,
D4,人均接待游客,万人次/万人,正向,"(0, 25)",,,,,,,,,,
D5,发电量,亿千瓦时,正向,"(0, 200)",,,,,,,,,,
E1,单位GDP能耗指数,指数,逆向,"(60, 100)",,,,,,,,,,
E2,森林覆盖率,%,正向,"(11.98, 12.51)",,,,,,,,,,
E3,空气质量优良天数比例,%,正向,"(0, 100)",,,,,,,,,,
E4,草原综合植被盖度,%,正向,"(42.3, 50)",,,,,,,,,,
